회차,추첨일,1등 당첨자수,1등 당첨금액,2등 당첨자수,2등 당첨금액,3등 당첨자수,3등 당첨금액,4등 당첨자수,4등 당첨금액,5등 당첨자수,53등 당첨금액,1번,2번,3번,4번,5번,6번,보너스
830,2018.10.27,9,"2,060,528,750원",80,"38,634,915원",2142,"1,442,948원",106206,"50,000원",1764071,"5,000원",5,6,16,18,37,38,17
829,2018.10.20,8,"2,444,650,641원",45,"72,434,094원",1837,"1,774,379원",94679,"50,000원",1637836,"5,000원",4,5,31,35,43,45,29
828,2018.10.13,13,"1,455,185,972원",62,"50,853,274원",1968,"1,602,085원",100644,"50,000원",1704198,"5,000원",4,7,13,29,31,39,18
827,2018.10.06,15,"1,206,500,375원",46,"65,570,673원",2113,"1,427,474원",106164,"50,000원",1761371,"5,000원",5,11,12,29,33,44,14
826,2018.09.29,9,"2,075,192,084원",47,"66,229,535원",2232,"1,394,619원",108626,"50,000원",1755153,"5,000원",13,16,24,25,33,36,42
825,2018.09.22,12,"1,658,710,563원",53,"62,592,852원",2249,"1,475,065원",113070,"50,000원",1850484,"5,000원",8,15,21,31,33,38,42
824,2018.09.15,15,"1,256,646,550원",51,"61,600,322원",2106,"1,491,746원",105359,"50,000원",1745566,"5,000원",7,9,24,29,34,38,26
823,2018.09.08,9,"2,009,843,917원",61,"49,422,392원",2348,"1,283,972원",112065,"50,000원",1795737,"5,000원",12,18,24,26,39,40,15
822,2018.09.01,3,"5,930,898,625원",79,"37,537,334원",2153,"1,377,357원",108789,"50,000원",1735565,"5,000원",9,18,20,24,27,36,12
821,2018.08.25,14,"1,316,155,956원",55,"55,836,920원",2100,"1,462,396원",101082,"50,000원",1687355,"5,000원",1,12,13,24,29,44,16
820,2018.08.18,4,"4,627,313,532원",60,"51,414,595원",1987,"1,552,530원",99433,"50,000원",1644326,"5,000원",10,21,22,30,35,42,6
819,2018.08.11,7,"2,594,534,840원",49,"61,774,640원",1981,"1,527,995원",97667,"50,000원",1638089,"5,000원",16,25,33,38,40,45,15
818,2018.08.04,13,"1,380,804,318원",39,"76,711,351원",1845,"1,621,541원",90205,"50,000원",1490497,"5,000원",14,15,25,28,29,30,3
817,2018.07.28,9,"1,868,477,334원",54,"51,902,149원",2068,"1,355,279원",105276,"50,000원",1718171,"5,000원",3,9,12,13,25,43,34
816,2018.07.21,8,"2,128,107,938원",67,"42,350,407원",2064,"1,374,747원",102402,"50,000원",1675799,"5,000원",12,18,19,29,31,39,7
815,2018.07.14,7,"2,579,855,358원",39,"77,175,161원",1703,"1,767,371원",92977,"50,000원",1596140,"5,000원",17,21,25,26,27,36,4
814,2018.07.07,6,"3,067,192,063원",52,"58,984,463원",1833,"1,673,319원",93837,"50,000원",1585777,"5,000원",2,21,28,38,42,45,30
813,2018.06.30,4,"4,591,763,157원",43,"71,190,127원",1800,"1,700,654원",89323,"50,000원",1548384,"5,000원",11,30,34,35,42,44,27
812,2018.06.23,6,"2,947,954,750원",68,"43,352,276원",1976,"1,491,880원",100498,"50,000원",1693074,"5,000원",1,3,12,14,16,43,10
811,2018.06.16,7,"2,524,148,197원",49,"60,098,767원",2151,"1,369,057원",104155,"50,000원",1703788,"5,000원",8,11,19,21,36,45,25
810,2018.06.09,8,"2,231,598,047원",64,"46,491,626원",2053,"1,449,325원",100608,"50,000원",1672013,"5,000원",5,10,13,21,39,43,11
809,2018.06.02,6,"2,921,372,750원",56,"52,167,371원",2179,"1,340,695원",104350,"50,000원",1703714,"5,000원",6,11,15,17,23,40,39
808,2018.05.26,6,"3,087,620,500원",46,"67,122,185원",1962,"1,573,711원",95319,"50,000원",1597761,"5,000원",15,21,31,32,41,43,24
807,2018.05.19,7,"2,437,662,322원",59,"48,202,363원",2319,"1,226,365원",108300,"50,000원",1749855,"5,000원",6,10,18,25,34,35,33
806,2018.05.12,7,"2,640,760,875원",57,"54,050,662원",1850,"1,665,345원",91180,"50,000원",1561838,"5,000원",14,20,23,31,37,38,27
805,2018.05.05,4,"4,266,061,969원",53,"53,661,157원",2075,"1,370,623원",105602,"50,000원",1700112,"5,000원",3,12,13,18,31,32,42
804,2018.04.28,11,"1,631,996,523원",49,"61,061,095원",2048,"1,460,935원",100907,"50,000원",1659443,"5,000원",1,10,13,26,32,36,9
803,2018.04.21,5,"3,663,810,225원",50,"61,063,504원",2094,"1,458,059원",102413,"50,000원",1657869,"5,000원",5,9,14,26,30,43,2
802,2018.04.14,16,"1,082,947,993원",67,"43,102,408원",2207,"1,308,501원",107980,"50,000원",1814300,"5,000원",10,11,12,18,24,42,27
801,2018.04.07,8,"2,256,786,657원",51,"59,000,959원",1999,"1,505,278원",97006,"50,000원",1618941,"5,000원",17,25,28,37,43,44,2
800,2018.03.31,11,"1,632,246,205원",51,"58,675,518원",2179,"1,373,315원",110956,"50,000원",1801924,"5,000원",1,4,10,12,28,45,26
799,2018.03.24,10,"1,826,427,225원",56,"54,357,954원",2242,"1,357,737원",107519,"50,000원",1725236,"5,000원",12,17,23,34,42,45,33
798,2018.03.17,7,"2,710,791,911원",60,"52,709,843원",2124,"1,488,979원",98988,"50,000원",1653851,"5,000원",2,10,14,22,32,36,41
797,2018.03.10,8,"2,397,028,125원",34,"94,001,103원",1868,"1,710,941원",97900,"50,000원",1641334,"5,000원",5,22,31,32,39,45,36
796,2018.03.03,7,"2,763,490,340원",46,"70,088,524원",1921,"1,678,331원",96701,"50,000원",1643069,"5,000원",1,21,26,36,40,41,5
795,2018.02.24,11,"1,714,977,000원",62,"50,711,686원",2423,"1,297,617원",111043,"50,000원",1825105,"5,000원",3,10,13,26,34,38,36
794,2018.02.17,7,"2,650,940,304원",45,"68,728,082원",2607,"1,186,331원",116809,"50,000원",1877646,"5,000원",6,7,18,19,30,38,13
793,2018.02.10,5,"3,750,146,775원",61,"51,231,514원",2043,"1,529,674원",98216,"50,000원",1635392,"5,000원",10,15,21,35,38,43,31
792,2018.02.03,7,"2,655,736,768원",65,"47,667,071원",1958,"1,582,411원",99185,"50,000원",1684675,"5,000원",2,7,19,25,29,36,16
791,2018.01.27,14,"1,253,081,893원",38,"76,943,625원",2410,"1,213,219원",102931,"50,000원",1713102,"5,000원",2,10,12,31,33,42,32
790,2018.01.20,16,"1,160,516,274원",59,"52,452,713원",2417,"1,280,394원",113336,"50,000원",1812992,"5,000원",3,8,19,27,30,41,12
789,2018.01.13,15,"1,140,976,825원",70,"40,749,173원",2437,"1,170,473원",118089,"50,000원",1868863,"5,000원",2,6,7,12,19,45,38
788,2018.01.06,13,"1,401,475,154원",70,"43,378,993원",2257,"1,345,384원",112504,"50,000원",1828701,"5,000원",2,10,11,19,35,39,29
787,2017.12.30,6,"3,092,108,313원",51,"60,629,575원",2339,"1,321,979원",114842,"50,000원",1863599,"5,000원",5,6,13,16,27,28,9
786,2017.12.23,4,"4,551,365,250원",96,"31,606,704원",2064,"1,470,080원",103000,"50,000원",1708226,"5,000원",12,15,16,20,24,30,38
785,2017.12.16,6,"2,886,622,688원",55,"52,484,049원",1972,"1,463,805원",100062,"50,000원",1678240,"5,000원",4,6,15,25,26,33,40
784,2017.12.09,9,"1,908,678,000원",51,"56,137,589원",2257,"1,268,506원",115089,"50,000원",1699421,"5,000원",3,10,23,24,31,39,22
783,2017.12.02,4,"4,603,964,625원",36,"85,258,605원",1869,"1,642,221원",90899,"50,000원",1532640,"5,000원",14,15,16,17,38,45,36
782,2017.11.25,9,"1,946,487,625원",49,"59,586,356원",2047,"1,426,347원",96821,"50,000원",1585617,"5,000원",6,18,31,34,38,45,20
781,2017.11.18,9,"1,882,891,542원",52,"54,314,180원",1967,"1,435,861원",102959,"50,000원",1699786,"5,000원",11,16,18,19,24,39,43
780,2017.11.11,11,"1,667,520,137원",45,"67,936,006원",1681,"1,818,632원",92630,"50,000원",1605516,"5,000원",15,17,19,21,27,45,16
779,2017.11.04,11,"1,527,709,296원",66,"42,436,370원",2503,"1,118,978원",114464,"50,000원",1751447,"5,000원",6,12,19,24,34,41,4
778,2017.10.28,3,"6,264,069,500원",67,"46,746,788원",1731,"1,809,379원",92126,"50,000원",1575045,"5,000원",6,21,35,36,37,41,11
777,2017.10.21,21,"833,468,036원",66,"44,199,063원",2413,"1,208,926원",111938,"50,000원",1766635,"5,000원",6,12,17,21,34,37,18
776,2017.10.14,7,"2,557,579,393원",50,"59,676,853원",2001,"1,491,176원",102081,"50,000원",1687650,"5,000원",8,9,18,21,28,40,20
775,2017.10.07,5,"3,470,437,650원",37,"78,163,011원",1719,"1,682,392원",91297,"50,000원",1539325,"5,000원",11,12,29,33,38,42,17
